LEFT
Max ankle flexion(deg),23.515637885075748
Min ankle flexion(deg),-7.894937914053088
Max knee flexion(deg),60.46337439059907
Min knee flexion(deg),0.8184967735778563
Max hip flexion(deg),42.42073919841067
Min hip flexion(deg),-7.642712755891992
Mid-stride time,4.686033368273934 5.836696366177498
Heel Strike,2.276311582809224 3.4853415443745632 4.686033368273934 5.836696366177498
Toe Off,3.101787211740042 4.310817173305381 5.461480171208945 6.45371855345912
RIGHT
Max ankle flexion(deg),17.873146881559236
Min ankle flexion(deg),-11.10198063427633
Max knee flexion(deg),52.45998810414861
Min knee flexion(deg),6.1765262345822265
Max hip flexion(deg),28.9497970327286
Min hip flexion(deg),-5.588637602660007
Mid-stride time,5.278041142557652 6.29529393780573
Heel Strike,2.926686320754717 4.110701869322153 5.278041142557652 6.29529393780573
Toe Off,2.518117575122292 3.7021331236897272 4.886148672257162 6.0284735324947585
